PALMA,POV,UNEMP,UNDEREMP,TRV_FOR,TRV_DOM,COMPET,GDP_MFG,GDP_CONSTR,GDP_WRT,GDP_TRANSP,GDP_AFS,GDP_ICT,GDP_FIN,GDP_REOD,GDP_BUS,LDF,LDF_EXP,REV_TAX_RP,REV_TAX_BUS,VIS_GRP,MIN_GRP
0.69,6.4,2.464,24.591,498,66279,31.3686,9.1,8.0,14.2,29.7,31.1,5.9,9.2,7.0,11.8,586.61,264.68,2.17E-04,1.31E-05,0,0
1.01,10.1,3.407,7.321,14557,27879,31.9729,3.2,9.3,12.1,32.9,25.1,3.9,8.9,6.2,9.6,1099.57,1167.47,1.03E-04,2.28E-05,0,0
0.91,6.3,1.175,10.103,1483,116627,31.0821,3.5,11.0,12.0,94.9,24.2,3.6,11.2,2.5,13.7,1153.42,1125.75,1.44E-05,5.05E-05,0,0
0.90,17.5,0.879,0.721,4808,137411,27.8961,8.6,14.6,13.3,52.3,35.2,4.5,11.4,8.7,14.7,1336.08,1153.58,7.29E-05,1.53E-05,0,0
0.63,0.5,1.313,47.147,23926,491937,33.3932,3.8,12.1,16.1,19.7,28.5,8.3,13.7,7.9,13.6,563.15,392.25,2.92E-04,1.99E-05,0,0
1.00,9.3,2.236,21.209,8470,111441,31.7192,8.6,13.6,11.8,62.2,25.6,9.0,13.6,10.3,10.5,475.07,282.76,8.85E-05,1.04E-04,0,0
1.21,12.5,6.700,15.970,5924,543909,36.3735,1.8,14.4,13.3,29.8,20.2,7.4,13.4,11.3,11.7,401.03,53.81,1.59E-04,1.23E-05,0,0
0.95,18.5,6.071,17.324,5134,637879,32.4118,7.5,15.8,11.8,10.2,23.3,7.6,16.9,9.3,10.1,293.18,230.59,1.28E-04,6.52E-05,0,0
1.09,10.0,3.001,10.318,526,9608,27.6319,14.5,19.7,10.0,61.0,30.2,8.3,12.6,6.0,15.9,6791.48,2374.08,2.45E-04,2.19E-06,0,0
0.83,14.0,2.422,11.162,6184,494609,32.8183,4.8,22.9,9.5,14.2,13.7,10.1,15.8,5.2,12.4,474.92,247.98,1.03E-04,2.48E-05,0,0
0.97,10.9,1.612,16.255,1656,172388,30.1128,12.5,21.3,12.2,21.6,26.9,13.3,14.5,9.1,10.4,705.21,602.39,1.99E-04,2.86E-05,0,0
1.21,11.1,2.093,12.791,8,5634,31.4457,5.3,10.9,10.3,23.2,18.0,9.0,14.5,5.1,11.3,1285.31,984.51,8.31E-05,2.44E-05,0,0
1.03,10.8,4.906,14.038,4075,215894,35.1663,7.2,13.8,10.8,21.6,27.8,5.1,17.9,10.4,14.0,392.64,275.75,1.91E-03,3.31E-05,0,0
0.63,16.2,5.888,6.486,5813,246313,36.0707,5.4,14.8,11.2,19.9,38.3,6.5,20.2,11.7,11.0,266.61,254.74,2.84E-04,3.86E-05,0,0
0.64,12.5,1.221,12.087,16517,250604,30.8200,6.5,14.2,11.2,18.7,38.2,7.8,16.7,13.0,12.0,319.09,255.49,1.45E-04,2.25E-06,0,0
0.56,3.7,3.909,11.738,526495,1129361,34.6768,7.1,14.0,10.2,22.1,41.6,6.3,19.4,14.7,10.6,289.38,7.15,1.33E-04,2.90E-04,0,0
0.74,9.4,4.426,2.441,3343,84738,34.2754,8.3,10.8,12.6,17.2,26.4,6.4,21.4,7.5,13.3,350.10,309.57,1.30E-04,1.30E-05,0,0
0.70,18.2,6.064,13.153,18095,1894979,31.2143,7.1,10.8,10.7,35.9,35.5,8.0,18.8,8.4,14.3,529.12,432.69,5.79E-04,1.66E-04,0,0
0.95,8.3,5.498,3.104,39644,3296088,35.7477,2.6,21.0,13.5,14.1,28.0,5.0,22.6,11.8,8.7,260.95,144.16,2.41E-04,1.17E-05,0,0
0.82,9.1,5.103,24.636,18972,1322323,40.1377,8.0,14.6,13.4,12.8,29.6,3.2,19.9,13.2,10.4,250.84,104.43,1.70E-04,3.41E-05,0,0
